GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 02 01:10:00 MST 2025,02-Nov-2025 01:10:00.383,-121.76870101,37.32708903,0.0,3.2160000801086426,109.0,0.0,-0.81881696,8.00621033,6.98149204,0.10505074,
Sun Nov 02 01:10:01 MST 2025,02-Nov-2025 01:10:01.383,-121.76870173,37.32708926,0.0,3.2160000801086426,109.0,0.0,2.01112938,8.35097599,6.34942293,0.10785776,
Sun Nov 02 01:10:02 MST 2025,02-Nov-2025 01:10:02.383,-121.76870201,37.32708934,0.0,3.2160000801086426,109.0,0.0,0.40222588,8.66701031,4.27125597,0.00480038,
Sun Nov 02 01:10:03 MST 2025,02-Nov-2025 01:10:03.383,-121.76870221,37.32708943,0.0,3.2160000801086426,109.0,0.0,-0.31603462,8.46110916,5.77481461,0.06373399,
Sun Nov 02 01:10:04 MST 2025,02-Nov-2025 01:10:04.384,-121.76870231,37.32708939,0.0,3.2160000801086426,109.0,0.0,-1.8626889,8.62870312,5.08528423,0.05747658,
Sun Nov 02 01:10:05 MST 2025,02-Nov-2025 01:10:05.382,-121.76870241,37.32708934,0.0,3.2160000801086426,109.0,0.0,-3.02627087,8.44674397,4.76446152,0.05457896,
Sun Nov 02 01:10:06 MST 2025,02-Nov-2025 01:10:06.382,-121.76870246,37.32708929,0.0,3.2160000801086426,109.0,0.0,-2.19308877,8.55208874,5.23372507,0.07519344,
Sun Nov 02 01:10:07 MST 2025,02-Nov-2025 01:10:07.383,-121.76870251,37.32708929,0.0,3.2160000801086426,109.0,0.0,-2.31279874,8.46110916,6.06211853,0.10589999,
Sun Nov 02 01:10:08 MST 2025,02-Nov-2025 01:10:08.384,-121.76870253,37.32708928,0.0,3.2160000801086426,109.0,0.0,-0.86670101,7.80988598,4.69742393,-0.04778391,
Sun Nov 02 01:10:09 MST 2025,02-Nov-2025 01:10:09.384,-121.76870252,37.32708926,0.0,3.2160000801086426,109.0,0.0,1.43173265,8.02536392,7.03416443,0.11658901,
Sun Nov 02 01:10:10 MST 2025,02-Nov-2025 01:10:10.383,-121.76870251,37.32708924,0.0,3.2160000801086426,109.0,0.0,1.23061967,7.82903957,6.16746378,0.04267031,
Sun Nov 02 01:10:11 MST 2025,02-Nov-2025 01:10:11.383,-121.76870251,37.32708922,0.0,3.2160000801086426,109.0,0.0,1.17794728,7.87692356,6.11000252,0.04226273,
Sun Nov 02 01:10:12 MST 2025,02-Nov-2025 01:10:12.383,-121.76870252,37.3270892,0.0,3.2160000801086426,109.0,0.0,1.14921677,8.17859268,6.02381134,0.06103331,
Sun Nov 02 01:10:12 MST 2025,02-Nov-2025 01:10:13.382,-121.76870252,37.3270892,0.0,3.2160000801086426,109.0,0.0,10.12747288,5.18584108,-3.94564438,0.24659485,
